ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
49,worker[145],902758.0363158876,6247079.371807492,date ('2021-05-27 07:49:05'),34.890000624126856,41.572916666666664,28.926666042539807,10.245277847184076
50,worker[145],902742.0908369331,6247074.522257432,date ('2021-05-27 07:49:10'),34.90000062518649,41.57083333333333,28.933332708146835,10.247222291098701
51,worker[145],902726.1494989942,6247069.658974334,date ('2021-05-27 07:49:15'),35.20999986330668,41.568749999999994,28.55791649023692,10.28500003417333
52,worker[145],902710.5753555876,6247063.871386896,date ('2021-05-27 07:49:20'),35.62000139024523,41.56666666666666,28.64666680230035,10.286666700575086
53,worker[145],902698.0306200971,6247052.97323437,date ('2021-05-27 07:49:25'),35.812359719806246,41.54694444444444,28.753333512941996,10.288333366976843
54,worker[145],902685.7040480638,6247041.755685632,date ('2021-05-27 07:49:30'),36.40500049591064,41.545,28.860000562667846,10.2900000333786
55,worker[145],902673.4823075761,6247030.424176687,date ('2021-05-27 07:49:35'),37.09791786140866,41.543055555555554,28.96666603618198,10.291666699780357
56,worker[145],902661.2715559123,6247019.080662803,date ('2021-05-27 07:49:40'),37.67388875749376,41.54111111111111,28.990554989708794,10.393333583407932
57,worker[145],902649.0448381042,6247007.754361433,date ('2021-05-27 07:49:45'),38.384583965937296,41.53916666666667,29.079999748865763,10.395000251134237
58,worker[145],902636.3741725587,6246996.963741338,date ('2021-05-27 07:49:50'),40.52750113805135,41.53722222222222,29.58666641447279,10.496666508250767
59,worker[145],902622.9726834901,6246987.0552667575,date ('2021-05-27 07:49:55'),41.42194355328878,41.53527777777778,29.676527841885886,10.498333174652524
60,worker[145],902607.2439995485,6246981.696353586,date ('2021-05-27 07:50:00'),49.65000089009603,41.53333333333333,30.700000127156574,10.883333683013916
61,worker[145],902592.2984189031,6246974.4343253905,date ('2021-05-27 07:50:05'),49.66291755570306,41.531388888888884,30.706666792763606,10.88513923883438
62,worker[145],902577.4722521765,6246966.821010871,date ('2021-05-27 07:50:10'),72.9774982240465,41.529444444444444,35.46416615380181,12.086944603919983
63,worker[145],902565.6227599733,6246955.228279261,date ('2021-05-27 07:50:15'),74.2750015258789,41.527499999999996,35.07125115394592,12.072500097751618
64,worker[145],902551.4440273397,6246947.8952235775,date ('2021-05-27 07:50:20'),87.42777472601996,41.525555555555556,39.429999605814615,13.058333524068196
65,worker[145],902541.7370154103,6246934.675906123,date ('2021-05-27 07:50:25'),77.85486062367757,41.52361111111111,35.485416147443985,12.176388568348354
66,worker[145],902532.6944393925,6246912.944317325,date ('2021-05-27 07:50:30'),82.90583229064941,41.52166666666666,39.34500052134196,13.062500190734863
67,worker[145],902519.1113679486,6246893.702966506,date ('2021-05-27 07:50:35'),76.19916899998982,41.51972222222222,35.39958403640323,12.180277456177606
68,worker[145],902504.1180162899,6246875.496615981,date ('2021-05-27 07:50:40'),63.79999754163954,41.51777777777777,33.43777830335829,11.597777938842773
69,worker[145],902489.8314158446,6246856.706272948,date ('2021-05-27 07:50:45'),55.87416707674662,41.51583333333333,32.044582629203795,11.299583303928376
70,worker[145],902475.5957695505,6246837.875022969,date ('2021-05-27 07:50:50'),58.40138965182834,41.513888888888886,32.85138771269057,11.501388669013977
