ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
19,worker[5],892640.4254211627,6247184.016905146,date ('2021-05-27 09:21:35'),63.496250274446275,64.78930555555556,31.44166582690345,10.8043055706554
20,worker[5],892653.2401587346,6247164.1869369745,date ('2021-05-27 09:21:40'),63.47500027550591,64.80277777777778,31.43333249621921,10.80277779367235
21,worker[5],892665.855000906,6247144.228221463,date ('2021-05-27 09:21:45'),56.91624875068665,64.81625,30.624999237060546,10.601249861717225
22,worker[5],892678.4698430775,6247124.269505951,date ('2021-05-27 09:21:50'),60.678054862552216,64.82972222222222,31.28027763896518,10.699722464879354
23,worker[5],892691.0847239927,6247104.310814928,date ('2021-05-27 09:21:55'),63.111248620351155,64.84319444444444,31.77180541621314,10.898194495836893
24,worker[5],892703.703072419,6247084.354316595,date ('2021-05-27 09:22:00'),59.30999806722005,64.85666666666667,31.3,10.69666690826416
25,worker[5],892716.3284846683,6247064.4022857845,date ('2021-05-27 09:22:05'),56.67361235618591,64.87013888888889,30.854860146840412,10.595138748486837
26,worker[5],892728.9538969175,6247044.450254975,date ('2021-05-27 09:22:10'),63.44749875598484,64.88361111111111,32.30944334136115,10.993610941039192
27,worker[5],892738.1161092565,6247022.898760458,date ('2021-05-27 09:22:15'),60.9375,64.86,31.93791728814443,10.892083382606506
28,worker[5],892740.36610906,6247001.426338937,date ('2021-05-27 09:22:20'),64.23055555555555,64.87333333333333,32.492221885257294,10.990555387073092
29,worker[5],892754.6397580422,6246983.069387445,date ('2021-05-27 09:22:25'),63.80902625189887,64.92402777777778,32.48361077573564,10.989027610090044
30,worker[5],892761.7237451617,6246960.811178975,date ('2021-05-27 09:22:30'),58.5625,64.9375,31.312499046325684,10.787500023841858
31,worker[5],892766.1137178448,6246937.6117671775,date ('2021-05-27 09:22:35'),53.343471935060286,64.91333333333333,30.341665858692593,10.423611301845975
32,worker[5],892770.1033725165,6246914.342071145,date ('2021-05-27 09:22:40'),55.77333238389757,64.96444444444444,31.133334138658313,10.684444681803386
33,worker[5],892774.2952266047,6246891.106295386,date ('2021-05-27 09:22:45'),58.40208485921224,64.97791666666666,31.487083148956298,10.78291669289271
34,worker[5],892778.5659595636,6246867.884637222,date ('2021-05-27 09:22:50'),57.058055845896405,65.05333333333333,30.7786101659139,10.581388743718465
35,worker[5],892782.8344749368,6246844.662593546,date ('2021-05-27 09:22:55'),58.62360864215427,65.06666666666666,31.208333333333332,10.679861346880594
36,worker[5],892786.5385925398,6246821.3439959325,date ('2021-05-27 09:23:00'),67.76666819254557,65.08,33.02333456675212,11.278333361943563
37,worker[5],892781.2880178983,6246799.321038514,date ('2021-05-27 09:23:05'),64.17527713245816,65.09333333333333,32.014723454581365,10.876805599530538
38,worker[5],892762.1837894977,6246785.484725634,date ('2021-05-27 09:23:10'),71.0063907623291,65.20666666666666,33.60611081653171,11.37527782122294
39,worker[5],892760.1401395352,6246765.026492125,date ('2021-05-27 09:23:15'),70.98375186920165,65.22,33.59749970436096,11.373750042915344
40,worker[5],892767.5103557725,6246742.595374346,date ('2021-05-27 09:23:20'),60.483331468370224,65.23333333333333,30.76666588253445,10.672222455342611
41,worker[5],892774.900072788,6246720.170505311,date ('2021-05-27 09:23:25'),64.6287487718794,65.24666666666667,31.758332551850213,10.87069448630015
42,worker[5],892782.2722004974,6246697.739807264,date ('2021-05-27 09:23:30'),61.00333518981934,65.25999999999999,31.510833962758383,10.769166700045268
43,worker[5],892789.6180555078,6246675.347191023,date ('2021-05-27 09:23:35'),63.72555370330811,65.27333333333333,31.80236172411177,10.867638929684956
44,worker[5],892800.0215412517,6246654.151624216,date ('2021-05-27 09:23:40'),75.13389133877224,65.28666666666666,33.81499953799778,11.466110955344305
45,worker[5],892810.1317486548,6246632.8651782945,date ('2021-05-27 09:23:45'),67.2854163646698,65.36041666666667,32.545833031336464,11.0645831823349
46,worker[5],892817.3978725838,6246610.399915978,date ('2021-05-27 09:23:50'),75.58694689008925,65.31333333333333,33.79749954011705,11.463055401378208
47,worker[5],892824.7295654714,6246587.956191658,date ('2021-05-27 09:23:55'),75.56347466574775,65.32666666666667,33.78874954117669,11.461527624395158
48,worker[5],892832.2000999117,6246565.558073811,date ('2021-05-27 09:24:00'),73.86000061035156,65.4,33.42000122070313,11.360000038146973
49,worker[5],892839.6706343519,6246543.159955964,date ('2021-05-27 09:24:05'),66.57847374280294,65.41319444444444,32.15152686436971,10.95847207042906
50,worker[5],892847.141168792,6246520.761838119,date ('2021-05-27 09:24:10'),76.53333515591092,65.42638888888888,35.32222313351102,11.756944484180874
51,worker[5],892854.6397056326,6246498.373080902,date ('2021-05-27 09:24:15'),71.8525012175242,65.43958333333333,32.63458242416382,11.11500007311503
52,worker[5],892862.140281537,6246475.985005303,date ('2021-05-27 09:24:20'),64.21666817135281,65.45277777777778,31.466667419009738,10.853888924916586
53,worker[5],892869.6408574414,6246453.596929705,date ('2021-05-27 09:24:25'),70.8888904147678,65.46597222222222,33.41763948334588,11.352361146608988
54,worker[5],892877.0680039754,6246431.184590302,date ('2021-05-27 09:24:30'),69.74833215077719,65.47916666666667,32.909167257944745,11.20999988714854
55,worker[5],892884.392486459,6246408.738287196,date ('2021-05-27 09:24:35'),64.03610989782545,65.59236111111112,31.841665903727215,10.849305589993795
56,worker[5],892891.7023133773,6246386.287207374,date ('2021-05-27 09:24:40'),72.58110868665906,65.56444444444445,34.251110818650986,11.547777620951335
57,worker[5],892906.7644265523,6246376.539593579,date ('2021-05-27 09:24:45'),72.55874757766723,65.5775,34.24249970912933,11.546249842643737
58,worker[5],892930.07379518,6246380.302292356,date ('2021-05-27 09:24:50'),63.83305492401123,65.53194444444445,32.11666593021817,11.003333412276374
59,worker[5],892953.3831638074,6246384.064991133,date ('2021-05-27 09:24:55'),62.69541781743368,65.54513888888889,31.80833257039388,10.90166636440489
60,worker[5],892976.6685201625,6246387.973383044,date ('2021-05-27 09:25:00'),57.76666514078776,65.5,31.0,10.641666889190674
61,worker[5],892999.952532903,6246391.889927261,date ('2021-05-27 09:25:05'),60.079999430974325,65.47152777777778,31.39166739516788,10.898333031601377
62,worker[5],893023.2439184333,6246395.762129247,date ('2021-05-27 09:25:10'),61.63416779836019,65.48472222222222,31.683334096272787,10.89666636519962
63,worker[5],893046.6290048508,6246397.5189798,date ('2021-05-27 09:25:15'),66.21916457811992,65.49791666666667,32.89083301226298,11.194999889532726
