ID,name_of_agent,longitude,latitude,buildings_volume,voie_1,voie_2,voie_3,voie_4,voie_5,voie_6,road_0_4_width,road_4_6_width,road_6_8_width,road_8_max_width,distance_to_main_road,bois,foret,haie
0,worker[5],892385.6770131454,6247539.710884575,100182.43515348784,176.48204423989876,101.74310702642387,0.0,0.0,0.0,0.0,278.22515126632265,0.0,0.0,0.0,316.62343953527625,0.0,0.0,0.0
1,worker[5],892413.5141806707,6247529.306578541,104514.61653832486,210.06422293564822,77.85306904255435,0.0,0.0,0.0,0.0,300.58795105358007,0.0,0.0,0.0,345.82163748213446,0.0,0.0,0.0
2,worker[5],892425.7769592097,6247509.161802703,99751.16086125157,233.94555040807887,82.07251933637868,0.0,0.0,0.0,0.0,366.8118079003701,0.0,0.0,0.0,361.3224761404569,0.0,0.0,0.0
3,worker[5],892439.1356588424,6247489.710527833,98090.12711119525,256.3635306453249,82.67135991023137,0.0,0.0,0.0,0.0,401.7584850385879,0.0,0.0,0.0,377.78578272124724,0.0,0.0,0.0
4,worker[5],892451.8323568037,6247469.8041657,107443.16436248939,269.9133615269069,50.69262008608107,0.0,0.0,0.0,0.0,367.68317840517074,0.0,0.0,0.0,393.6738342697929,0.0,0.0,0.0
5,worker[5],892464.5618921225,6247449.932700992,110566.42919557798,244.71797321583495,0.0,0.0,0.0,0.0,0.0,282.0139500977867,0.0,0.0,0.0,409.58833075231706,0.0,0.0,0.0
6,worker[5],892474.8682834349,6247428.711818705,109681.59928587767,221.55447764906683,0.0,0.0,0.0,0.0,0.0,246.55447764906683,0.0,0.0,0.0,423.3435660333301,0.0,0.0,0.0
7,worker[5],892487.6816428594,6247408.8801425705,89354.27411290372,213.66956403236546,27.89266611464375,0.0,0.0,0.0,0.0,349.8292671562087,0.0,0.0,0.0,439.3205990655166,0.0,0.0,0.0
8,worker[5],892500.5376419253,6247389.075904238,65087.92147472069,213.75938432843205,71.7405174308156,0.0,0.0,0.0,0.0,430.61917280955697,0.9269763734463874,0.0,0.0,454.98888260530094,0.0,0.0,0.0
9,worker[5],892510.8189913413,6247368.3803319875,50594.45960632194,220.66377377768578,105.15986909214695,0.0,0.0,0.0,0.0,457.2440370575295,43.70026184324814,0.0,0.0,468.2444209759328,0.0,0.0,0.0
10,worker[5],892518.1270826565,6247348.156186297,56659.37212873237,182.89392483009254,100.13993893995129,0.0,0.0,0.0,0.0,332.7297192638462,82.38755059544356,0.0,0.0,478.4896422026722,0.0,0.0,0.0
11,worker[5],892538.2212678305,6247342.865948716,65193.28515911104,174.92815715319378,111.90383049007724,0.0,0.0,0.0,0.0,252.7862890138469,94.13004307199927,0.0,0.0,499.1483928916219,0.0,0.0,0.0
12,worker[5],892551.0897653449,6247323.070035726,83989.7235888532,100.31964068567055,118.3557834628886,0.0,0.0,0.0,0.0,115.51943773738583,118.3557834628886,0.0,0.0,514.8277920502493,0.0,0.0,0.0
13,worker[5],892563.8949589224,6247303.232913873,121217.54790338085,3.6928511730328615,99.29704858121451,0.0,0.0,0.0,0.0,3.6928511730328615,99.29704858121451,0.0,0.0,530.4507481393717,0.0,0.0,0.0
14,worker[5],892576.6894018942,6247283.388851963,128591.5996760175,0.0,99.8318127040549,0.0,0.0,0.0,0.0,0.0,99.8318127040549,0.0,0.0,546.0641100761812,0.0,0.0,0.0
15,worker[5],892589.4707724274,6247263.5363676045,128902.30639648244,0.0,114.49666921373739,0.0,0.0,0.0,0.0,14.678075765645469,99.81859344809192,0.0,0.0,561.6658033311073,0.0,0.0,0.0
16,worker[5],892602.2521429606,6247243.683883247,116949.69529180793,0.0,171.82466190280218,0.0,0.0,0.0,0.0,72.03256511113592,99.79209679166625,0.0,0.0,577.2674965858945,0.0,0.0,0.0
17,worker[5],892615.0143664905,6247223.819123326,99183.50513414654,0.0,236.74909985757506,0.0,0.0,0.0,0.0,136.94131915668987,99.80778070088523,0.0,0.0,592.8612072245292,0.0,0.0,0.0
18,worker[5],892627.7198938266,6247203.918014236,90495.47232264372,0.0,280.9609409697393,0.0,0.0,0.0,0.0,181.13173512848346,99.82920584125583,0.0,0.0,608.7507734347574,0.0,0.0,0.0
19,worker[5],892640.4254211627,6247184.016905146,91221.5419892534,0.0,272.6321317071089,0.0,0.0,0.0,0.0,172.81460555459375,99.81752615251516,0.0,0.0,625.1284399376752,0.0,0.0,0.0
20,worker[5],892653.2401587346,6247164.1869369745,104131.35781160874,0.0,200.43894291810867,0.0,0.0,0.0,0.0,100.62836229259781,99.81058062551085,0.0,0.0,642.0462008338841,0.0,0.0,0.0
21,worker[5],892665.855000906,6247144.228221463,106691.60679946773,16.581493881005418,167.6102083591792,0.0,0.0,0.0,0.0,84.39187324106503,99.79982899911958,0.0,0.0,659.2158556841033,0.0,0.0,0.0
22,worker[5],892678.4698430775,6247124.269505951,100817.1070384467,64.8163668445162,155.51199321662406,11.326380119011523,0.0,0.0,0.0,108.56444050022392,111.76391956091632,11.326380119011523,0.0,676.7737686269601,0.0,0.0,0.0
23,worker[5],892691.0847239927,6247104.310814928,93185.35526703582,75.15578255628388,155.65813058967703,34.9556474055414,0.0,0.0,0.0,131.81282360794978,103.81783037526617,34.9556474055414,0.0,694.6905307304595,0.0,0.0,0.0
24,worker[5],892703.703072419,6247084.354316595,95097.80880351177,75.96666304919695,133.23121367842225,58.584614461458386,0.0,0.0,0.0,122.30561154709508,86.89226518052412,58.584614461458386,0.0,712.8959854782128,0.0,0.0,0.0
25,worker[5],892716.3284846683,6247064.4022857845,92864.01014674398,77.25179584539144,86.78844308101553,76.01723089261047,0.0,0.0,0.0,107.7658840753889,56.274354851018074,76.01723089261047,0.0,731.1787534116537,0.0,0.0,0.0
26,worker[5],892728.9538969175,6247044.450254975,80228.93132151899,105.42318944868569,49.686011820324474,88.53129794257137,0.0,0.0,0.0,105.42318944868569,49.686011820324474,88.53129794257137,0.0,749.7209614158744,0.0,0.0,0.0
27,worker[5],892738.1161092565,6247022.898760458,57408.21148347992,133.1006562256594,102.37926672348898,69.62760712295162,0.0,0.0,0.0,133.1006562256594,102.37926672348897,69.62760712295162,0.0,765.8891677834218,0.0,0.0,0.0
28,worker[5],892740.36610906,6247001.426338937,31411.809976950433,132.3964074538453,144.6074143590561,47.43165588146133,0.0,0.0,0.0,152.97982994473804,144.6074143590561,47.43165588146133,0.0,759.0895592478986,0.0,0.0,0.0
29,worker[5],892754.6397580422,6246983.069387445,30451.140574386194,153.70660369152577,187.4478655501461,6.137164619676238,0.0,0.0,0.0,153.70660369152577,187.4478655501461,6.137164619676238,0.0,751.3693146583836,0.0,0.0,0.0
30,worker[5],892761.7237451617,6246960.811178975,31065.9379512405,78.64720822302763,231.39465081746675,0.0,0.0,0.0,0.0,78.64720822302765,197.38049133597036,34.01415948149644,0.0,736.959660798604,0.0,0.0,0.0
31,worker[5],892766.1137178448,6246937.6117671775,22488.564075698967,42.36674024951199,260.95730802061337,0.0,0.0,0.0,0.0,45.74657883913636,197.07210047307098,60.505368957918,0.0,720.3926319618992,0.0,0.0,0.0
32,worker[5],892770.1033725165,6246914.342071145,29971.271159867967,16.95116487570565,274.1086528397265,0.0,0.0,0.0,0.0,33.63419481072812,197.6390737040005,59.786549200703554,0.0,703.5398043649153,0.0,0.0,0.0
