ID,name_of_agent,longitude,latitude,buildings_volume,voie_1,voie_2,voie_3,voie_4,voie_5,voie_6,road_0_4_width,road_4_6_width,road_6_8_width,road_8_max_width,distance_to_main_road,bois,foret,haie
0,worker[145],902845.5422117757,6247431.46860386,3487.1974745292055,0.0,63.01199023893421,0.0,0.0,0.0,0.0,0.0,63.01199023893421,0.0,0.0,849.7415002625571,12.759987612834035,0.0,944.4406323285123
1,worker[145],902824.1993797759,6247397.841273189,3893.739851035661,34.315953140195205,117.2524921795814,0.0,0.0,0.0,0.0,34.315953140195205,117.2524921795814,0.0,0.0,810.6193740096473,0.0,0.0,304.158248062943
2,worker[145],902809.6602028423,6247389.695670437,6104.0020406576905,65.77766115491853,112.75198637607545,0.0,0.0,0.0,0.0,79.14265756811022,112.75198637607545,0.0,0.0,797.8125672118435,0.0,0.0,623.3341166074038
3,worker[145],902794.5488144144,6247387.702529794,10811.938754356339,58.50342724651705,105.86969726535716,0.0,0.0,0.0,0.0,75.41843424374153,105.86969726535716,0.0,0.0,790.7503067320617,0.0,0.0,1142.606894760661
4,worker[145],902784.6144738052,6247401.037294244,13551.59269174321,34.005521357296544,113.71882065569812,0.0,0.0,0.0,0.0,36.48723296393149,113.71882065569812,0.0,0.0,800.0993971139712,0.0,0.0,1003.7780156760392
5,worker[145],902775.051580618,6247414.687526904,14794.603382534497,15.208619740304997,116.76529928602348,0.0,0.0,0.0,0.0,15.208619740304997,116.76529928602348,0.0,0.0,810.0953202546641,0.0,0.0,969.1914335396583
6,worker[145],902765.4886874309,6247428.337759564,19151.954204425747,0.0,100.26296893128156,0.0,0.0,0.0,0.0,0.0,100.26296893128156,0.0,0.0,820.3080921766023,0.0,0.0,567.2453241364527
7,worker[145],902755.9257942437,6247441.987992224,20634.899761915687,0.0,109.26658853344027,0.0,0.0,0.0,0.0,17.846377920813282,109.26658853344027,0.0,0.0,830.7297152740831,77.43137957620898,0.0,520.1078960012413
8,worker[145],902746.3629010565,6247455.638224884,17351.463075770276,0.0,154.80615503044862,0.0,0.0,0.0,0.0,34.49910265257733,154.8061550304486,0.0,0.0,841.3524286185793,139.06500002929477,0.0,606.6003338390402
9,worker[145],902737.8579737437,6247469.933407931,14701.088004235806,28.25777808168563,158.46231909813798,0.0,0.0,0.0,0.0,63.82804874523408,158.46231909813798,0.0,0.0,853.0523203151578,139.06500002929477,0.0,391.3718781764478
10,worker[145],902729.3928199864,6247483.159536417,10346.169345772889,22.385241637148233,150.66362614232307,0.0,0.0,0.0,0.0,53.17670290585687,150.66362614232307,0.0,0.0,863.8830472482507,139.06500002929477,0.0,288.06237957292274
11,worker[145],902708.7700304507,6247471.717250706,10945.5465718698,103.18876205623823,186.82562092100716,0.0,0.0,0.0,0.0,146.96830398120935,143.04607899603604,0.0,0.0,848.1536829618336,139.06500002929477,0.0,486.9643909063777
12,worker[145],902696.2369148773,6247459.113112422,9673.809642325863,95.75367879770565,185.95028165624393,0.0,0.0,0.0,0.0,151.34638849849236,130.35757195545725,0.0,0.0,833.2378534534698,139.06500002929477,0.0,629.0513489046589
13,worker[145],902695.7185119092,6247442.493410048,10484.910458337252,63.725455218161656,167.24910179363565,0.0,0.0,0.0,0.0,134.61582638525837,96.35873062653894,0.0,0.0,816.85618353593,139.06500002929477,0.0,995.1148915480586
14,worker[145],902701.5650672405,6247427.546809917,12924.470321702212,63.360335070970976,125.96868244162361,0.0,0.0,0.0,0.0,133.23837184240642,56.09064567018814,0.0,0.0,803.4622040413257,86.44768576785879,0.0,1060.8396865356474
15,worker[145],902710.9976948592,6247413.806238095,16465.646175032038,47.81820416395537,76.83961297119706,0.0,0.0,0.0,0.0,124.65781713515243,0.0,0.0,0.0,792.1571200157375,0.0,0.0,1650.9307435027915
16,worker[145],902720.4303224777,6247400.065666274,16752.778144074397,48.42453921373366,94.33209309362942,0.0,0.0,0.0,0.0,142.7566323073631,0.0,0.0,0.0,781.0440754638976,0.0,0.0,2478.4959165497294
17,worker[145],902729.002102698,6247385.795066808,14930.686837477919,44.13645262632981,100.51030397766448,0.0,0.0,0.0,0.0,144.64675660399428,0.0,0.0,0.0,769.3957556941873,0.0,0.0,2830.9477278514278
18,worker[145],902735.8022765134,6247370.72584874,10735.080062202593,46.66050661818208,99.68233824244791,0.0,0.0,0.0,0.0,150.34284486063,0.0,0.0,0.0,756.6808008579368,0.0,0.0,3108.5249561493706
19,worker[145],902737.0307203174,6247354.1647145245,7466.175492057077,48.86029378606188,101.11326127319586,0.0,0.0,0.0,0.0,199.2300199455668,0.0,0.0,0.0,741.1056150935106,0.0,52.15207766394482,3280.7253388193963
20,worker[145],902738.4949189103,6247337.569031993,8388.840052051066,45.08748768496466,87.42305588191296,0.0,0.0,0.0,0.0,197.78821624130867,0.0,0.0,0.0,725.6110330295879,0.0,277.97749443323283,3478.8988303757824
21,worker[145],902739.2559562895,6247320.91974973,8779.771889469643,33.9096653682259,69.49600880071424,0.0,0.0,0.0,0.0,182.22641097199505,0.0,0.0,0.0,709.9097473102064,0.0,422.55051098450525,2826.018368703354
22,worker[145],902739.6045334853,6247304.258182853,7740.471711539636,0.0,62.62556834698523,0.0,0.0,0.0,0.0,141.3036013598909,9.763297229843273,0.0,0.0,694.1166785238335,0.0,417.0341537602764,2455.7176594091884
23,worker[145],902737.5821106044,6247287.975999039,7909.997140604294,0.0,65.7705844061867,0.0,0.0,0.0,0.0,130.6847855925762,28.931768216666583,0.0,0.0,677.9937928204987,0.0,320.4561150107521,3092.22325575989
24,worker[145],902737.91848633,6247271.312727177,7225.542719303549,0.0,53.49105355447924,0.0,0.0,0.0,0.0,107.89118659329354,33.28683094488269,0.0,0.0,662.2620965531648,0.0,52.9870879655513,3637.3821040312914
25,worker[145],902738.1369208127,6247263.969243447,6608.7451977702785,0.0,45.977090051793816,0.0,0.0,0.0,0.0,102.50166284492504,33.11041360281465,0.0,0.0,655.3661969164831,0.0,0.0,3585.3063013615506
26,worker[145],902738.3326855318,6247258.417138108,6306.455383562677,0.0,39.68445667983982,0.0,0.0,0.0,0.0,102.24415820881343,32.36838374550558,0.0,0.0,650.1688907464141,0.0,0.0,3411.3986441920483
27,worker[145],902738.4737024133,6247252.86375225,6129.654873805104,0.0,32.55446200439466,0.0,0.0,0.0,0.0,102.31478933689458,30.79187543196022,0.0,0.0,644.9585867095908,0.0,0.0,3188.869100564523
28,worker[145],902738.5377302968,6247247.308565668,5803.327073153647,0.0,60.47960676520296,0.0,0.0,0.0,0.0,134.6188340910354,29.064985986697675,0.0,0.0,639.7271974178233,0.0,0.0,3050.4251364801603
29,worker[145],902738.6017581805,6247241.753379086,5303.188289969952,0.0,74.84005590247406,0.0,0.0,0.0,0.0,153.0985870737858,26.262444140002895,0.0,0.0,634.5013191923231,0.0,0.0,3132.7641811472245
30,worker[145],902738.0948207821,6247236.274221711,4963.610360942617,0.0,84.43903146727767,0.0,0.0,0.0,0.0,166.39039156592463,23.61114228622899,0.0,0.0,629.1630615041523,0.0,0.0,3399.7063606805064
31,worker[145],902736.5793524988,6247230.929359373,5376.980603527916,0.0,92.56801217959733,0.0,0.0,0.0,0.0,172.5267249481634,21.083672276648937,0.0,0.0,623.6182807730579,0.0,0.0,3613.8707464381023
32,worker[145],902735.0638842154,6247225.584497035,6039.367110110625,0.0,96.50728475232205,0.0,0.0,0.0,0.0,174.71174949360338,17.32944888166526,0.0,0.0,618.0736935531834,0.0,0.0,3831.5430398630383
33,worker[145],902730.0935286679,6247223.149628698,6408.108909983513,0.0,104.4711092930583,0.0,0.0,0.0,0.0,178.10251780552034,18.970462084568023,0.0,0.0,614.1351568398102,0.0,0.0,4037.4309848605008
34,worker[145],902726.4359986912,6247219.570483516,6272.407264378658,8.761336368233124,107.26347537260783,0.0,0.0,0.0,0.0,187.43100893493056,16.689932144292847,0.0,0.0,609.5611052786329,0.0,0.0,4079.4720381780876
35,worker[145],902724.7457577524,6247214.27829275,5772.797595010137,26.317831429858263,102.91040511714277,0.0,0.0,0.0,0.0,203.30339769020893,8.122621136882888,0.0,0.0,604.0066946404313,0.0,0.0,3947.468045090456
36,worker[145],902723.0555168136,6247208.986101985,5920.77714695493,38.75909235514956,97.79915859574207,0.0,0.0,0.0,0.0,212.85691953840302,0.0,0.0,0.0,598.4523052579324,0.0,0.0,3643.308133020932
