ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,predicted_NO2_concentration,O3_concentration,predicted_O3_concentration,PM10_concentration,predicted_PM10_concentration,PM25_concentration,predicted_PM25_concentration
30,worker[145],902738.0948207821,6247236.274221711,date ('2021-05-27 07:47:30'),33.14166553815206,15.346696552518635,41.69166666666666,0.0,28.50000015894572,0.0,10.208333412806192,0.0
31,worker[145],902736.5793524988,6247230.929359373,date ('2021-05-27 07:47:35'),33.851388125949434,7.624317271740129,41.68972222222222,0.0,28.58597268263499,0.0,10.210277856720818,0.0
32,worker[145],902735.0638842154,6247225.584497035,date ('2021-05-27 07:47:40'),33.86111034817166,-4.107784663265008,41.687777777777775,0.0,28.592778237660724,0.0,10.212222300635444,0.0
33,worker[145],902730.0935286679,6247223.149628698,date ('2021-05-27 07:47:45'),33.87083257039388,-11.067749436014948,41.685833333333335,0.0,28.599583792686463,0.0,10.21416674455007,0.0
34,worker[145],902726.4359986912,6247219.570483516,date ('2021-05-27 07:47:50'),33.8805547926161,-10.402678518465809,41.68388888888889,0.0,28.6063893477122,0.0,10.216111188464694,0.0
35,worker[145],902724.7457577524,6247214.27829275,date ('2021-05-27 07:47:55'),33.890277014838325,-4.405797990553696,41.68194444444444,0.0,28.613194902737934,0.0,10.21805563237932,0.0
36,worker[145],902723.0555168136,6247208.986101985,date ('2021-05-27 07:48:00'),34.079999923706055,-8.705902966414111,41.68,0.0,28.620000457763673,0.0,10.220000076293946,0.0
37,worker[145],902724.9904107534,6247203.884503141,date ('2021-05-27 07:48:05'),34.089861035346985,1.2315959653309605,41.67805555555555,0.0,28.62680601278941,0.0,10.22194452020857,0.0
38,worker[145],902727.226274564,6247198.798727826,date ('2021-05-27 07:48:10'),34.099722146987915,10.00002055280155,41.67611111111111,0.0,28.633611567815144,0.0,10.223888964123196,0.0
39,worker[145],902729.4621383746,6247193.712952512,date ('2021-05-27 07:48:15'),34.109583258628845,3.238047628440789,41.674166666666665,0.0,28.64041712284088,0.0,10.225833408037822,0.0
40,worker[145],902731.6980021851,6247188.6271771975,date ('2021-05-27 07:48:20'),34.119444370269775,-18.08540763031212,41.67222222222222,0.0,28.64722267786662,0.0,10.227777851952446,0.0
41,worker[145],902733.9338659956,6247183.541401883,date ('2021-05-27 07:48:25'),34.4293050871955,-45.947130755017675,41.67027777777778,0.0,28.754028246137832,0.0,10.229722295867072,0.0
42,worker[145],902738.2019097544,6247173.793071659,date ('2021-05-27 07:48:30'),34.05833449363708,-111.62443470914727,41.66833333333333,0.0,28.66083378791809,0.0,10.231666739781698,0.0
43,worker[145],902744.8772228878,6247158.521595884,date ('2021-05-27 07:48:35'),34.26805439260271,-215.85584576527933,41.66638888888889,0.0,28.767639361487493,0.0,10.233611183696324,0.0
44,worker[145],902751.5525360213,6247143.250120109,date ('2021-05-27 07:48:40'),34.277776612175835,-232.3965071267964,41.66444444444444,0.0,28.774444919162327,0.0,10.235555627610948,0.0
45,worker[145],902758.2278491548,6247127.978644334,date ('2021-05-27 07:48:45'),34.46874952316284,-190.50028685093244,41.58125,0.0,28.800000548362732,0.0,10.237500071525574,0.0
